categorie_de_produit,sous_categorie_de_produit,risques_encourus_par_le_consommateur,nom_de_la_marque_du_produit,date_debut_fin_de_commercialisation,distributeurs,motif_du_rappel
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite,Diet Horizon,Du 21/07/2021 au 13/09/2021,Distributeurs : Magasin BIO et diététiques.,Présence d'oxyde d'éthylène dans une matière première à une teneur légèrement supérieure à la limite règlementaire.
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite,Santé Verte,Du 07/06/2021 au 13/09/2021,Pharmacie et Parapharmacie.,Présence d'oxyde d'éthylène dans une matière première à une teneur légèrement supérieure à la limite règlementaire.
Bébés-Enfants (hors alimentaire),Jouets,Blessures externes,ILLOOMS  BALLONS LED,NA,Tous les magasins U,NON CONFORMITE REGLEMENTAIRE
Bébés-Enfants (hors alimentaire),Articles pour enfants et puériculture,Arrêt respiratoire,trois kilos sept,Du 02/03/2020 au 10/09/2021,AUBERT-AURELIA-AUTOUR DE BEBE-BABY ZAKYA- BEBE9-BEBE CASH-BEL AND Z- CARIBOU BEBE-COCINELLE-DEALUP -DEUX FOIS 9-DISTRIB'ETIK-JAC GIL-JOHANNA CALMELS- ILOT BEBE-LA FOLIE DU BEBE-LES BAMBINS DE LESNEVEN-LOLLIPOPS-MADE 4 BABY-MADEINBEBE-MCKIDS-,taille de l'encolure
Alimentation,Produits de la pêche et d'aquaculture,Anomalie d'étiquetage,LOC MARÉE,Du 07/09/2021 au 10/09/2021,ALDI,"l’absence de la mention réglementaire « produit décongelé, ne pas recongeler »"
Alimentation,"Soupes, sauces et condiments",Autres contaminants chimiques,COLONA,Du 03/05/2021 au 14/09/2021,LECLERC,Présence d'oxyde d'éthylène
Alimentation,Céréales et produits de boulangerie,Autres contaminants biologiques,ALNATURA,Du 16/06/2021 au 15/09/2021,SUPERMARCHE MATCH,TRACES D'ALCALOIDE DE L'ERGOT
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,vendée chèvre,Du 16/08/2021 au 13/09/2021,"Leclerc, Super U, Hyper U.",Listeria
"Vêtements, Mode, EPI",Equipements de Protection Individuels,Blessures externes,HAWK,Du 04/09/2019 au 20/04/2021,MOTOMANIA,"ARTICLE PRESENTE UN DANGER CAR IL NE PROTEGE PAS LE PORTEUR DE L'ABRESION EN CAS DE GLISSADE NI LE VENTRE AVEC LA POCHE OUVERTE. AUSSI EN CAS DE CHOC MECANIQUE NE PROTEGE PAS LES COUDES, LES EPAULES, LE DOS."
"Vêtements, Mode, EPI","Vêtements, textiles, accessoires de mode",Arrêt respiratoire,RENAULT ALPINE,Du 03/03/2021 au 15/09/2021,RENAULT,Le cordon n'est pas attaché au vêtement et il peut coulisser tout en comportant des extrémités libres
Alimentation,Aliments diététiques et nutrition,Dépassement des limites autorisées de pesticides,Overstim.s,Du 23/06/2021 au 15/09/2021,"Décathlon, Go Sport, Intersport, enseignes spécialisées de cycles et running, vente à distance URL: https://www.overstims.com/",Présence d'oxyde d'éthylène à une teneur supérieure à la limite réglementaire dans un lot de curcuma BIO entrant dans la composition du produit.
Hygiène-Beauté,"Produits d’hygiène (cotons, intime, papiers)",Dommages internes,FRANPRIX,Du 15/04/2021 au 15/09/2021,"Franprix, Marché d’à côté, Nano, Miranda",Détachement des poils de la brosse à dents.
Alimentation,Viandes,Listeria monocytogenes ,Le tuyé de Mésandans,Du 09/09/2021 au 11/09/2021,Magasin du Tuyé de Mésansand (Les Fins et Tarcenay),Présence de Listeria monocytogenes
Alimentation,Viandes,Salmonella spp ,sans marque,Du 08/09/2021 au 08/09/2021,"Henri Boucher Wattrelos, 4 rue Albert 1er, Parc commercial du Sartel, 59150 Wattrelos",Résultat d'autocontrôle microbiologique non conforme
Alimentation,Aliments pour animaux d'élevage,Substances interdites (au sens du Règlement UE 37/2010),Fouganza,NA,Décathlon,Contamination à l'oxyde d'éthylène
Alimentation,Plats préparés et snacks,Autres contaminants chimiques,Jermayo,Du 05/07/2021 au 16/09/2021,GMS,présence d'oxyde d'éthylène
Alimentation,Lait et produits laitiers,Escherichia coli,MONOPRIX GOURMET,Du 03/09/2021 au 17/09/2021,MONOPRIX,Escherichia coli beta glucuronidase positive
"Appareils électriques, Outils","Appareils électriques, électroménager",Risque environnemental,Kohler-SDMO,NA,Réseau professionnel identifié et informé,Amortisseur non conforme RoHS
Alimentation,"Soupes, sauces et condiments",Autres contaminants chimiques,Jermayo,Du 04/08/2021 au 16/09/2021,GMS,présence d'oxyde d'éthylène
Alimentation,"Soupes, sauces et condiments",Autres contaminants chimiques,Jermayo,Du 19/07/2021 au 16/09/2021,GMS,présence d'oxyde d'éthylène
Alimentation,Produits sucrés,Autres contaminants chimiques,BIOTODAY,Depuis le 31/03/2020,"Géant Casino, les enseignes Casino",Suite à une alerte européenne concernant la présence d’oxyde d’éthylène à une teneur supérieure à la limite autorisée dans les graines de sésame entrant dans la composition des produits
Alimentation,Produits sucrés,"Inertes (verre, métal, plastique, papier, textile…)",CARREFOUR,Du 30/04/2021 au 17/09/2021,CARREFOUR,Présence de cailloux
Alimentation,Viandes,Listeria monocytogenes ,Au Jambon de Bourgogne,Du 17/08/2021 au 25/08/2021,Grossistes,Présence de Listeria monocytogenes
Alimentation,"Soupes, sauces et condiments",Autres contaminants chimiques,COLONA,NA,METRO FRANCE,Présence d’oxyde d’éthylène supérieure à la limite maximale de résidus
Alimentation,Autres,Norovirus,Neutre,Du 26/04/2021 au 13/09/2021,"Le Repaire de Cartouche
Les Viviers de Saint Colomban
La Paimpolaise Conserverie
Kaviari
SAS Soprolux
Gourmets de l'Ain
Les Paniers du Château
Le Coin des Chefs",Présence de Norovirus
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite,Nurilia,Du 30/04/2020 au 30/04/2023,Laboratoire Nurilia,Présence d’oxyde d’éthylène supérieure aux limites réglementaires dans un ingrédient : Extrait sec de Gingembre 5% Gingérols
Alimentation,Aliments diététiques et nutrition,Dépassement des limites autorisées de pesticides,NOVOPHANE,Du 01/03/2021 au 02/09/2021,Grossistes - pharmacies,Présence d'oxyde d'éthylène/2 chloroethanol dans les lots de gélules végétales utilisés pour la fabrication du produit fini
Alimentation,Autres,Dépassement des limites autorisées de pesticides,SIMON DUTRIAUX,Du 30/07/2021 au 09/04/2022,scapartois (leclerc)- casino-Intermarché-metro,présence oxyde éthylène au dessus des valeurs autorisées -présence dans gomme de caroube étant 1 ingrédient de la sauce
"Vêtements, Mode, EPI","Vêtements, textiles, accessoires de mode",Blessures externes,ROYAL LONDON,Du 16/03/2018 au 02/08/2021,CONDOR FRANCE,La teneur en nickel libéré est supérieure au seuil réglementaire
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite,Poméol,Du 01/08/2021 au 21/09/2021,"Site e-commerce Poméol
Site e-commerce/commande téléphonique Téléshopping
Pharmacie",Présence d’oxyde d’éthylène supérieure aux limites réglementaires dans un ingrédient (gélule) sur le dernier lot du produit concerné
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite,SYNPHONAT,Du 15/07/2021 au 20/09/2021,"Vente directe
Pharmacie
Magasins","Mise en évidence d’une plante adultérante Periploca Sepium sans historique de consommation en Europe.  Absence d'évaluation préalable à sa mise sur le marché, et impossibilité d'écarter tout risque pour le consommateur."
Alimentation,Lait et produits laitiers,Escherichia coli shiga toxinogène (STEC),Fromagerie Anjouin,Du 18/08/2021 au 20/09/2021,"AUCHAN, CAP ENTREPOTS",Mise en évidence de Escherichia coli STEC O103: H2
Alimentation,Lait et produits laitiers,Escherichia coli shiga toxinogène (STEC),CLOS CHEVREL,Du 19/08/2021 au 14/09/2021,INTERMARCHE,Présence de Escherichia coli STEC O103:H2
Alimentation,Viandes,Salmonella spp ,Rest'Or Chef,Depuis le 09/09/2021,Auchan et réseau de distribution Auchan,Détection de Salmonelle
Alimentation,Lait et produits laitiers,Escherichia coli shiga toxinogène (STEC),NOS REGIONS ONT DU TALENT,Du 19/08/2021 au 20/09/2021,E.LECLERC,Risque de présence d’Escherichia coli O103 : H2
Alimentation,Viandes,Listeria monocytogenes ,E. Chavassieux,Du 07/09/2021 au 10/09/2021,Voir liste ci-dessous,Présence de listeria
Alimentation,Viandes,Listeria monocytogenes ,E. Chavassieux,Du 24/08/2021 au 27/08/2021,Voir liste ci-dessous,Présence de listeria
Alimentation,Produits sucrés,"Inertes (verre, métal, plastique, papier, textile…)",CARREFOUR,Du 30/03/2021 au 17/09/2021,CARREFOUR,Présence de cailloux
Alimentation,Autres,Listeria monocytogenes ,Tradilège,Du 11/09/2021 au 15/09/2021,Leclerc BRive la gaillarde,Présence de listeria monocytogenes
Alimentation,Céréales et produits de boulangerie,Dépassement des limites autorisées de pesticides,SANS MARQUE,Du 19/08/2021 au 26/08/2021,HYPERMARCHE CARREFOUR NARBONNE,PRESENCE D'UNE TENEUR DE OXYDE D'ETHYLENE SUPERIEURE A LA LIMITE AUTORISEE DANS LA FARINE UTILISEE POUR LA FABRICATION DU PAIN.
Alimentation,Aliments diététiques et nutrition,Produits phytosanitaires non autorisés Autre risque,FAMILLE MARY,Du 14/09/2021 au 20/09/2021,Famille Mary,contamination du lot de gélules mis en oeuvre par de l'oxyde d'éthylène
Alimentation,Herbes et épices,Dépassement des limites autorisées de pesticides,MDH,NA,ANJU,Taux d'oxyde d'éthylène trop élevé.
Alimentation,Herbes et épices,Dépassement des limites autorisées de pesticides,PRIYA,NA,ANJU,Taux d'oxyde d'éthylène trop élevé
Alimentation,Herbes et épices,Dépassement des limites autorisées de pesticides,PRIYA,NA,ANJU,Taux d'oxyde d'éthylène trop élevé
Alimentation,Herbes et épices,Dépassement des limites autorisées de pesticides,PRIYA,NA,ANJU,Taux d'oxyde d'éthylène trop élevé
"Appareils électriques, Outils","Appareils électriques, électroménager",Choc électrique,Swissten,Du 09/09/2019 au 04/06/2021,Magasins de téléphonie indépendant,Risque de choc électrique
Alimentation,Viandes,Listeria monocytogenes ,Salaison E. Chavassieux,Du 07/09/2021 au 10/09/2021,Voir liste ci-dessous,Présence de listeria monocytogène
Alimentation,Lait et produits laitiers,Escherichia coli shiga toxinogène (STEC),Fromagerie Anjouin,Du 18/08/2021 au 09/09/2021,"AUCHAN, APS PROLAICENTRE, CAP ENTREPOTS GRAND PUBLIC, RUNGIS, EUROFRAIS, FRANCAP, FRANCE FRAIS, SYSTEME, PRO A PRO",Mise en évidence de Escherichia coli STEC O103: H2
Alimentation,Produits de la pêche et d'aquaculture,Listeria monocytogenes ,/,Du 18/09/2021 au 21/09/2021,"Grand Frais, Fresh",Présence de Listeria
Alimentation,Produits de la pêche et d'aquaculture,Listeria monocytogenes ,/,Du 18/09/2021 au 21/09/2021,"Grand Frais, Fresh",Présence de Listeria
Alimentation,Produits de la pêche et d'aquaculture,Listeria monocytogenes ,/,Du 16/09/2021 au 21/09/2021,"Grand Frais, Fresh",Présence de Listeria
Alimentation,Aliments diététiques et nutrition,Produits phytosanitaires non autorisés,Meltonic,Du 18/06/2021 au 20/09/2021,Melisport,lot de gélules mis en oeuvre contaminé par de l'oxyde d'éthylène
Hygiène-Beauté,Cosmétiques,Intoxication,Activilong Acticurl,Du 26/08/2021 au 06/09/2021,"La Boutique du coiffeur
Amazon",Résultat de contrôle microbiologique non conforme
Hygiène-Beauté,Cosmétiques,Intoxication,URIAGE EAU THERMALE,Du 17/05/2021 au 08/06/2021,voir fichier PDF,Contamination bactérienne potentielle susceptible de présenter un risque pour la santé des personnes dont l'immunité est affaiblie
"Appareils électriques, Outils","Appareils électriques, électroménager",Choc électrique,OTech,Du 21/07/2021 au 21/09/2021,"ORDINAPHONE FRANCE
PARKRIDER",Le bloc chargeur présente une isolation électrique et une construction telle qu'il existe un risque de choc électrique.
Alimentation,Lait et produits laitiers,Dépassement des limites autorisées de pesticides,THIRIET,NA,THIRIET,Teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne dans la caroube entrant en très faible quantité dans la composition de la glace
Alimentation,Lait et produits laitiers,Dépassement des limites autorisées de pesticides,THIRIET,NA,THIRIET,Teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne dans la caroube entrant en très faible quantité dans la composition de la glace
Alimentation,Lait et produits laitiers,Dépassement des limites autorisées de pesticides,THIRIET,NA,THIRIET,Teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne dans la caroube entrant en très faible quantité dans la composition de la glace
Alimentation,Lait et produits laitiers,Dépassement des limites autorisées de pesticides,THIRIET,NA,THIRIET,Teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne dans la caroube entrant en très faible quantité dans la composition de la glace
Alimentation,Lait et produits laitiers,Dépassement des limites autorisées de pesticides,THIRIET,NA,THIRIET,Teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne dans la caroube entrant en très faible quantité dans la composition de la glace
Alimentation,Lait et produits laitiers,Dépassement des limites autorisées de pesticides,THIRIET,NA,THIRIET,Teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne dans la caroube entrant en très faible quantité dans la composition de la glace
Alimentation,Lait et produits laitiers,Dépassement des limites autorisées de pesticides,THIRIET,NA,THIRIET,Teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne dans la caroube entrant en très faible quantité dans la composition de la glace
Alimentation,Aliments pour animaux d'élevage,Autres contaminants chimiques,FOUGANZA,Du 20/01/2021 au 20/09/2021,DECATHLON,Présence d'oxyde d'éthylène dans un des ingrédients
Alimentation,Aliments pour animaux d'élevage,Autres contaminants chimiques,FOUGANZA,Du 20/01/2021 au 20/09/2021,DECATHLON,Présence d'oxyde d'éthylène dans un des ingrédients
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite,COMBEAU,Du 17/07/2021 au 20/09/2021,vente à distance e-commerce,Non conformité à l'oxyde d'éthylène
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite,"NATESIS",Du 19/01/2021 au 14/09/2021,"Certains MAGASINS BIO, Réseau l'Eau Vive, Naturalia, Greenweez",Seuils OXYDE ETHYLENE dépassés
Alimentation,Autres,Listeria monocytogenes ,REFLET de FRANCE,Du 31/08/2021 au 02/10/2021,Carrefour,Listeria
Bébés-Enfants (hors alimentaire),Jouets,Blessures externes,BUKI France,NA,"Joueclub, Oxybul, Cultura, King Jouet, Amazon",De nouvelles lunettes de protection protégeant des gouttelettes doivent être fournies.
Alimentation,Viandes,Listeria monocytogenes ,sans marque,Du 10/09/2021 au 16/09/2021,cora Nancy Houdemont,Présence de listeria < 10 germes / gramme
Alimentation,Aliments diététiques et nutrition,Autres contaminants chimiques,Ta Energy,Du 01/07/2021 au 06/09/2021,Endurance Shop - Terre de Running - Foulées - Magasins spécialisés Running / Vélo,Taux d'oxyde d'éthylène supérieur à la limite autorisée
Alimentation,Produits de la pêche et d'aquaculture,Listeria monocytogenes ,/,Du 14/09/2021 au 22/09/2021,LIDL,Des autocontrôles ont révélé la présence de Listeria monocytogènes.
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite,himalaya herbals,NA,"NATURAL INDIA
INDIAN STORE",Quantité superieure à la quantité autorisée d'Oxyde d'Ethylène
Alimentation,Escargots et grenouilles,Résidus de médicaments vétérinaires Substances interdites (au sens du Règlement UE 37/2010),Maison Grandjean,Du 14/06/2021 au 26/08/2021,"Boutique Maison Grandjean, Super U","Contamination chimique de la matière première par un antibiotique (détection de furazolidone (AOZ), un métabolite d’un nitrofurane)."
Maison-Habitat,Produits chimiques,Blessures externes,AIGLE,Depuis le 01/06/2021,AIGLE / JARDILAND / GAMM VERT,Défaut d'étiquetage : manque le mot DANGER à coté du symbole INFLAMMABLE
Maison-Habitat,Produits chimiques,Blessures externes,AIGLE,Depuis le 15/03/2021,AIGLE / JARDILAND / GAMM VERT,Défaut d'étiquetage : manque les symboles relatifs aux substances toxiques et le mot DANGER
Autres,Divers,Anomalie d'étiquetage Autre risque,/,Depuis le 21/09/2021,LIDL,Une erreur s’est glissée dans notre prospectus et sur nos affiches prix. Le laurier en vente cette semaine ne correspond pas à un laurier sauce mais à un laurier cerise. Le laurier en vente n’est pas comestible comme l’indique le logo sur le pot.
Alimentation,Aliments pour animaux d'élevage,Autres contaminants chimiques,FOUGANZA,Du 20/01/2021 au 20/09/2021,DECATHLON,Présence d'oxyde d'éthylène dans un des ingrédients
Alimentation,Lait et produits laitiers,Escherichia coli,MONOPRIX GOURMET,Du 03/09/2021 au 22/09/2021,MONOPRIX,Escherichia coli beta glucuronidase positive
Alimentation,Plats préparés et snacks,Listeria monocytogenes ,Monoprix,Du 11/09/2021 au 23/09/2021,Monoprix,Présence de Listéria
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite Dépassement des limites autorisées de pesticides,PHARMACIE FLORIT LAFAYETTE,Du 29/06/2021 au 21/09/2021,"Espace de vente de l'officine Pharmacie Florit Lafayette, Lyon 2e
Site internet de l'officine Pharmacie Florit Lafayette",Contamination de l'enveloppe de gélule végétale HPMC (HydroxyPropylMéthylCellulose) par l'oxyde d'éthylène (ETO)
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite Dépassement des limites autorisées de pesticides,PHARMACIE FLORIT LAFAYETTE,Du 30/07/2021 au 21/09/2021,"Espace de vente de l'officine Pharmacie Florit Lafayette, Lyon 2e
Site internet de l'officine Pharmacie Florit Lafayette",Contamination de l'enveloppe de gélule végétale HPMC (HydroxyPropylMéthylCellulose) par l'oxyde d'éthylène (ETO)
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite Dépassement des limites autorisées de pesticides,PHARMACIE FLORIT LAFAYETTE,Du 29/06/2021 au 21/09/2021,"Espace de vente de l'officine Pharmacie Florit Lafayette, Lyon 2e
Site internet de l'officine Pharmacie Florit Lafayette",Contamination de l'enveloppe de gélule végétale HPMC (HydroxyPropylMéthylCellulose) par l'oxyde d'éthylène (ETO)
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite Dépassement des limites autorisées de pesticides,PHARMACIE FLORIT LAFAYETTE,Du 29/06/2021 au 21/09/2021,"Espace de vente de l'officine Pharmacie Florit Lafayette, Lyon 2e
Site internet de l'officine Pharmacie Florit Lafayette",Contamination de l'enveloppe de gélule végétale HPMC (HydroxyPropylMéthylCellulose) par l'oxyde d'éthylène (ETO)
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite Dépassement des limites autorisées de pesticides,PHARMACIE FLORIT LAFAYETTE,Du 01/07/2021 au 21/09/2021,"Espace de vente de l'officine Pharmacie Florit Lafayette, Lyon 2e
Site internet de l'officine Pharmacie Florit Lafayette",Contamination de l'enveloppe de gélule végétale HPMC (HydroxyPropylMéthylCellulose) par l'oxyde d'éthylène (ETO)
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite Substances interdites (au sens du Règlement UE 37/2010) Dépassement des limites autorisées de pesticides,PHARMACIE FLORIT LAFAYETTE,Du 03/09/2021 au 21/09/2021,"Espace de vente de l'officine Pharmacie Florit Lafayette, Lyon 2e
Site internet de l'officine Pharmacie Florit Lafayette",Contamination de l'enveloppe de gélule végétale HPMC (HydroxyPropylMéthylCellulose) par l'oxyde d'éthylène (ETO)
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite Dépassement des limites autorisées de pesticides,PHARMACIE FLORIT LAFAYETTE,Du 29/06/2021 au 21/09/2021,"Espace de vente de l'officine Pharmacie Florit Lafayette, Lyon 2e
Site internet de l'officine Pharmacie Florit Lafayette",Contamination de l'enveloppe de gélule végétale HPMC (HydroxyPropylMéthylCellulose) par l'oxyde d'éthylène (ETO)
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite Dépassement des limites autorisées de pesticides,PHARMACIE FLORIT LAFAYETTE,Du 29/06/2021 au 21/09/2021,"Espace de vente de l'officine Pharmacie Florit Lafayette, Lyon 2e
Site internet de l'officine Pharmacie Florit Lafayette",Contamination de l'enveloppe de gélule végétale HPMC (HydroxyPropylMéthylCellulose) par l'oxyde d'éthylène (ETO)
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite,DPLANTES,Du 01/07/2021 au 23/09/2024,Vente en ligne aux particuliers,Présence d'oxyde d'éthylène dans une matière première à une teneur supérieure à la limite règlementaire.
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite,DPLANTES,Du 21/06/2021 au 23/09/2021,Vente en ligne aux particuliers,Présence d'oxyde d'éthylène dans une matière première à une teneur supérieure à la limite règlementaire.
Alimentation,Plats préparés et snacks,Listeria monocytogenes ,Franprix,Du 10/09/2021 au 23/09/2021,Franprix et réseaux de distribution de Franprix,Présence de Listéria
Alimentation,Lait et produits laitiers,Anomalie d'étiquetage,GÜ,Depuis le 02/09/2021,"Auchan, Atac, Carrefour, Casino, Cora, Leclerc, Nous Anti-gaspi",Erreur de marquage de la DLC sur la moitié du lot 21/182. Certains produits portent la date limite de consommation 29/09/2022 au lieu de 29/09/2021
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite,DIETANAT,Du 01/02/2021 au 21/09/2021,Site de vente en ligne,"Rappel de produit, suite à la mise en évidence d’une plante adultérante Periploca Sepium."
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite,DIETANAT,Du 01/02/2021 au 21/09/2021,Site de vente en ligne,"Rappel de produit, suite à la mise en évidence d’une plante adultérante Periploca Sepium."
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite,LAPHT PHYTOFRANCE,Du 01/02/2021 au 15/09/2021,boutiques diététiques et pharmacies,altération par Periploca sepium
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite,LAPHT PHYTOFRANCE,Du 01/02/2021 au 15/09/2021,boutiques diététiques et pharmacies,altération par Periploca sepium
Maison-Habitat,Matériel de cuisine (sauf électroménager),Blessures externes,MAGMA,Du 01/01/2021 au 31/07/2021,"Orange Marine
H2R Equipement
Le bazar de la mer
Boat Access
Accastillage Diffusion
Yacht partner
Sea service
Nautilots
Pecheur.com
Cabesto
Carenes services
Atlantic loisirs
Azur nautic",Produit non conforme à la norme NF EN 1860-1+A1 et au décret n°2006-18 du fait notamment de l'épaisseur du couvercle et du foyer inférieure à celle prévue par la norme et d'un défaut d'information documentaire.
Bébés-Enfants (hors alimentaire),Jouets,Arrêt respiratoire,Marina & Pau,Du 02/02/2021 au 24/09/2021,JOUÉCLUB - LECLERC,"Un contrôle a mis en évidence plusieurs non-conformités sur cet article, danger d’étouffement."
Bébés-Enfants (hors alimentaire),Jouets,Arrêt respiratoire,Clementoni,Du 29/09/2020 au 15/09/2021,CORA - INTERMARCHE - LA GRANDE RECRE - KINGJOUET - SAJOU - LECLERC - PARTNER JOUET WDK -JOUECLUB - MONOPRIX,Risque de détachement de petites pièces (phares) dimensions 8mm
Alimentation,Viandes,Listeria monocytogenes ,Prestige de la Sarthe,Du 08/09/2021 au 24/09/2021,"Casino, système U, Leclerc, Carrefour, Grossistes",Présence Listéria Monocytogenes< 10 ufc/g
Alimentation,Aliments diététiques et nutrition,Autres contaminants chimiques,OLIGOSANTE,Du 14/06/2021 au 18/09/2021,Laboratoires Oligosanté,"La société Oligosanté procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite règlementation, dans les gélules entrant dans la composition"
Alimentation,Aliments diététiques et nutrition,Autres contaminants chimiques,OLIGOSANTE,Du 02/08/2021 au 18/09/2021,Laboratoires Oligosanté,"La société Oligosanté procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite règlementation, dans les gélules entrant dans la composition"
Alimentation,Aliments diététiques et nutrition,Dépassement des limites autorisées de pesticides,ERIC FAVRE LABORATOIRE,Du 23/04/2021 au 18/08/2021,pharmacies et magasins spécialisés,dépassement des limites autorisées d'oxyde d'éthylène
Alimentation,Aliments diététiques et nutrition,Dépassement des limites autorisées de pesticides,ERIC FAVRE LABORATOIRE,Du 12/05/2021 au 22/06/2021,magasins spécialisés,dépassement des limites autorisées d'oxyde d'éthylène
Alimentation,Aliments diététiques et nutrition,Dépassement des limites autorisées de pesticides,ERIC FAVRE LABORATOIRE,Du 28/04/2021 au 02/08/2021,Pharmacies et magasins spécialisés,dépassement des limites autorisées d'oxyde d'éthylène
Alimentation,"Soupes, sauces et condiments",Dépassement des limites autorisées de pesticides,Alvalle,Du 22/09/2021 au 31/10/2021,"Auchan, Carrefour, Casino, Cora, Francap, Franprix, Grand frais, Intermarché, Leclerc, Match, Metro, Monoprix, Système U",Détection de résidus d'oxyde d'éthylène dans des épices
Alimentation,"Soupes, sauces et condiments",Dépassement des limites autorisées de pesticides,Alvalle,Du 02/09/2021 au 31/10/2021,"Auchan, Carrefour, Casino, Cora, Francap, Franprix, Grand frais, Intermarché, Leclerc, Match, Metro, Monoprix, Système U",Détection de résidus d'oxyde d'éthylène dans des épices
Alimentation,"Soupes, sauces et condiments",Produits phytosanitaires non autorisés,Isola bio,NA,BIOCOOP,Présence d'Oxyde d'éthylène
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite Dépassement des limites autorisées de pesticides,Laboratoire NG,Du 30/04/2021 au 20/09/2021,Pas de chaine de magasin ou pharmacie,Présence d'oxyde d'éthylène
Alimentation,Fruits et légumes,"Défaut de fabrication, défaut d'étanchéité (ex: micro fuites, thermoscellage défectueux) ou anomalies de conditionnement",sans marque,Du 22/09/2021 au 23/09/2021,RAYON COUPE TRADITIONNEL,Défaut dans l’élaboration de la recette qui peut entrainer une non-maîtrise de la conservation du produit.
Alimentation,Fruits et légumes,"Défaut de fabrication, défaut d'étanchéité (ex: micro fuites, thermoscellage défectueux) ou anomalies de conditionnement",QUALITE TRAITEUR,Du 22/09/2021 au 24/09/2021,RAYON FRAIS EMBALLE,Défaut dans l’élaboration de la recette qui peut entrainer une non-maîtrise de la conservation du produit.
Alimentation,Aliments diététiques et nutrition,Produits phytosanitaires non autorisés,ORFITO,Du 30/08/2021 au 22/09/2021,ONATERA,Teneur non-conforme en oxyde d'éthylène
Alimentation,Aliments diététiques et nutrition,Produits phytosanitaires non autorisés,ORFITO,Du 20/07/2021 au 22/09/2021,ONATERA,Teneur non-conforme en oxyde d'éthylène
Bébés-Enfants (hors alimentaire),Articles pour enfants et puériculture,Blessures externes,Pinolino,Du 09/02/2012 au 02/08/2021,Greenweez,Non respect des règles de construction
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite,HAIRFAX,Du 26/07/2021 au 21/09/2021,"HAIRFAX
CAPIDERM
SALON DE COIFFURE
INSTITUT CAPILLAIRE",Présence d'oxyde d'éthylène dans l'un des ingrédients du produit
Alimentation,Aliments diététiques et nutrition,Dépassement des limites autorisées de pesticides,ACB Pharma-L'Herbôthicaire,Du 28/06/2021 au 20/09/2021,Pharmacies - Parapharmacies - Magasins produits naturels,Rappel de lots suite à une contamination ETO (Oxyde d'éthylène) dans les gélules HPMC
Alimentation,Aliments diététiques et nutrition,Dépassement des limites autorisées de pesticides,ACB Pharma-L'Herbôthicaire,Du 18/06/2021 au 20/09/2021,Pharmacies - Parapharmacies - Magasins produits naturels,Rappel de lots suite à une contamination ETO (Oxyde d'éthylène) dans les gélules HPMC
Alimentation,Aliments diététiques et nutrition,Dépassement des limites autorisées de pesticides,ACB Pharma-L'Herbôthicaire,Du 28/06/2021 au 20/09/2021,Pharmacies - Parapharmacies - Magasins produits naturels,Rappel de lots suite à une contamination ETO (Oxyde d'éthylène) dans les gélules HPMC
Alimentation,Aliments diététiques et nutrition,Dépassement des limites autorisées de pesticides,ACB Pharma-L'Herbôthicaire,Du 28/06/2021 au 20/09/2021,Pharmacies - Parapharmacies - Magasins produits naturels,Rappel de lots suite à une contamination ETO (Oxyde d'éthylène) dans les gélules HPMC
Alimentation,Produits de la pêche et d'aquaculture,Listeria monocytogenes ,SAUMON FUME LECLERC,Du 14/09/2021 au 17/09/2021,LECLERC ST DOULCHARD,Présence de Listéria
