categorie_de_produit,sous_categorie_de_produit,risques_encourus_par_le_consommateur,nom_de_la_marque_du_produit,date_debut_fin_de_commercialisation,distributeurs,motif_du_rappel
Alimentation,Lait et produits laitiers,Listeria,Franprix,Du 22/03/2022 au 04/04/2022,Franprix et réseaux de distribution de Franprix,Détection de Listeria monocytogenes
Alimentation,Lait et produits laitiers,Listeria,sans marque,Depuis le 17/03/2022,WELN/La souris gourmande/Boucherie pertuisienne/Carrefour market/Intermarché/Boucherie Monera/Label pomme/U Utile/La cabane/Etal +/Etoile du sud/Prim'cat/Boucherie Megy (voir la liste clients en PDF),Trace de listeria monocytogene
Alimentation,Lait et produits laitiers,Listeria,NOUS Anti Gaspi,Du 17/03/2022 au 04/04/2022,Epiceries Anti Gaspi,Listeria monocytogenes
Alimentation,Lait et produits laitiers,Listeria,NORMANVILLE,Du 25/03/2022 au 04/04/2022,Crémeries,Listeria monocytogenes
Alimentation,Viandes,Salmonella,MAURER,Du 30/03/2022 au 07/04/2022,"COLRUYT RETAIL FRANCE (39)
COOPERATIVE U ENSEIGNE MULHOUSE (68)
LE DELAS (94)
BOUCHERIE DE LA SOURCE (48)
VENTS D'EST ANATOL (31)",Présence de Salmonelles
Alimentation,Autres,Salmonella,/,Du 01/01/2022 au 07/04/2022,"Auchan Hypermarchés de Toulon, Pérols, Toulouse, Montauban, Amiens, Montivilliers, Biganos, Macon, Domérat, Cavaillon, Grasse, Manosque, Sète, Noyelles, Avignon Mistral 7, Melun, Tours, Petite Foret, Perpignan",présence de Salmonelles
Alimentation,Produits sucrés,Salmonella,KINDER,Du 01/03/2022 au 05/04/2022,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Produits sucrés,Salmonella,KINDER,Du 01/03/2022 au 05/04/2022,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Produits sucrés,Salmonella,KINDER,Du 01/03/2022 au 05/04/2022,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Produits sucrés,Salmonella,KINDER,Du 01/03/2022 au 05/04/2022,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Produits sucrés,Salmonella,KINDER,Du 01/03/2022 au 05/04/2022,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Produits sucrés,Salmonella,KINDER SCHOKO-BONS,Du 01/03/2022 au 05/04/2022,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Produits sucrés,Salmonella,KINDER SURPRISE,Du 01/03/2022 au 05/04/2022,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Produits sucrés,Salmonella,KINDER SCHOKO-BONS WHITE,Du 01/03/2022 au 05/04/2022,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Produits sucrés,Salmonella,KINDER,Du 01/03/2022 au 05/04/2022,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Lait et produits laitiers,Listeria,E.Graindorge,Du 24/03/2022 au 08/04/2022,"Réseaux spécialisés (Grossistes, destockeurs)",Listeria monocytogenes (<10 UFC/g)
Alimentation,Produits sucrés,Salmonella,KINDER,Du 01/03/2022 au 05/04/2022,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Lait et produits laitiers,Listeria,E.Graindorge,Du 30/03/2022 au 08/04/2022,"Casino Carrefour ITM Sciever Leclerc Système U et Réseaux spécialisés (Grossistes, destockeurs)",Listeria monocytogenes (<10 UFC/g)
Alimentation,Lait et produits laitiers,Listeria,E.Graindorge,Du 21/03/2022 au 08/04/2022,"Réseaux spécialisés (grossistes, déstockeurs)",Listeria monocytogenes (<10 UFC/g)
Alimentation,Lait et produits laitiers,Listeria,E.Graindorge,Du 30/03/2022 au 08/04/2022,Auchan Casino Leclerc,Listeria monocytogenes (<10 UFC/g)
Alimentation,Lait et produits laitiers,Listeria,Traditions de Normandie,Du 21/03/2022 au 08/04/2022,Casino Carrefour Cora Match ITM Leclerc Système U,Listeria monocytogenes (<10 UFC/g)
Alimentation,Lait et produits laitiers,Listeria,Normanville,Du 04/04/2022 au 08/04/2022,"Réseaux spécialisés (Grossistes, destockeurs)",Listeria monocytogenes (<10 UFC/g)
Alimentation,Lait et produits laitiers,Listeria,Bon Normand,Du 18/03/2022 au 08/04/2022,Carrefour Cora Match ITM Leclerc DEGRENNE DISTRIBUTION et Réseaux spécialisés,Listeria monocytogenes (<10 UFC/g)
Alimentation,Lait et produits laitiers,Listeria,NOUS Antigaspi,Du 21/03/2022 au 08/04/2022,Epiceries Anti-Gaspi,Listeria monocytogenes (<10 UFC/g)
Alimentation,Lait et produits laitiers,Listeria,Sans marque,Du 15/03/2022 au 08/04/2022,"Réseaux spécialisés (Grossistes, déstockeurs)",Listeria monocytogenes (<10 UFC/g)
Alimentation,Lait et produits laitiers,Listeria,Normanville,Du 04/04/2022 au 08/04/2022,Leclerc Cora,Listeria monocytogenes (<10 UFC/g)
Alimentation,Lait et produits laitiers,Listeria,NOUS Antigaspi,Du 24/03/2022 au 08/04/2022,Épiceries Anti-Gaspi,Listeria monocytogenes (<10 UFC/g)
Alimentation,Lait et produits laitiers,Listeria,E.Graindorge,Du 30/03/2022 au 08/04/2022,Carrefour Cora Schiever Leclerc Système U,Listeria monocytogenes (<10 UFC/g)
Alimentation,Lait et produits laitiers,Listeria,Sans marque,Du 22/03/2022 au 08/04/2022,"Réseaux spécialisés (Grossistes, déstockeurs)",Listeria monocytogenes (<10 UFC/g)
Alimentation,Lait et produits laitiers,Listeria,Les Paquerettes,Du 04/04/2022 au 08/04/2022,Promocash et réseaux spécialisés,Listeria monocytogenes (<10 UFC/g)
Alimentation,Lait et produits laitiers,Listeria,Sans marque,Du 14/03/2022 au 08/04/2022,"Réseaux spécialisés (Grossistes, destockeurs)",Listeria monocytogenes (<10 UFC/g)
Alimentation,Lait et produits laitiers,Listeria,Sans marque,Du 24/03/2022 au 08/04/2022,"Réseaux spécialisés (Grossistes, déstockeurs)",Listeria monocytogenes (<10 UFC/g)
Alimentation,Lait et produits laitiers,Listeria,Sans marque,Du 14/03/2022 au 08/04/2022,"Réseaux spécialisés (Grossistes, destockeurs)",Listeria monocytogenes (<10 UFC/g)
Alimentation,Lait et produits laitiers,Listeria,E.Graindorge,Du 18/03/2022 au 08/04/2022,Réseaux spécialisés,Listeria monocytogenes (<10 UFC/g)
Alimentation,Lait et produits laitiers,Listeria,sans marque,Du 21/03/2022 au 08/04/2022,"Réseaux spécialisés (grossistes, destockeurs)",Listeria Monocytogenes (<10 UFC/g)
Alimentation,Lait et produits laitiers,Listeria,JACQUIN,Du 01/04/2022 au 12/04/2022,à définir en fonction des retours de nos clients,Retrait-rappel par mesure de précaution suite à la présence possible de Listeria monocytogenes <10 UFC/g dans ces produits.
Alimentation,Produits sucrés,Salmonella,KINDER,NA,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Produits sucrés,Salmonella,KINDER,NA,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Produits sucrés,Salmonella,KINDER,NA,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Produits sucrés,Salmonella,KINDER,NA,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Produits sucrés,Salmonella,KINDER,NA,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Produits sucrés,Salmonella,KINDER,NA,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Produits sucrés,Salmonella,KINDER SCHOKO-BONS,NA,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Produits sucrés,Salmonella,KINDER SCHOKO-BONS WHITE,NA,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Produits sucrés,Salmonella,KINDER,NA,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Produits sucrés,Salmonella,KINDER SURPRISE,NA,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Autres,Listeria,SALAISONS DES BELIERS,Du 08/04/2022 au 15/05/2022,"AUCHAN
CARREFOUR",Présence de Listéria
Alimentation,Autres,Salmonella,/,Du 01/01/2022 au 07/04/2022,"Auchan Hypermarchés de Toulon, Pérols, Toulouse, Montauban, Amiens, Montivilliers, Biganos, Macon, Domérat, Cavaillon, Grasse, Manosque, Sète, Noyelles, Avignon Mistral 7, Melun, Tours, Petite Foret, Perpignan, Vélizy, Nice",présence de Salmonelles
Alimentation,Produits de la pêche et d'aquaculture,Listeria,BOURGAIN ET FILS,Du 02/04/2022 au 23/04/2022,Carrefour et centreS Leclerc rayon poissonnerie libre-service,Présence Listéria monocytogènes inférieure à 10/g à J+5
Alimentation,Lait et produits laitiers,Listeria,Ferme de la Boisette / Ferme du Mont St Cyr,Du 01/03/2022 au 08/04/2022,"Atac, Bi1, Maximarché, Intermarché, Leclerc, Super U, U Express, Carrefour Market, commerces de détail départements: 01,21,42,71,69",Listéria
Alimentation,Lait et produits laitiers,Listeria,Ferme de la Boisette / Ferme du Mont St Cyr,Du 01/03/2022 au 08/04/2022,"Atac, Bi1, Maximarché, Intermarché, Leclerc, Super U, U Express, Carrefour Market, commerce de détail des départements: 01,21,42,71,69",Listéria
Alimentation,Lait et produits laitiers,Listeria,Ferme de la Boisette / Ferme du Mont St Cyr,Du 01/03/2022 au 08/04/2022,"Atac, Bi1, Maximarché, Intermarché, Leclerc, Super U, U Express, Carrefour Market, commerces de détail départements: 01,21,42,71,69",listéria
Alimentation,Lait et produits laitiers,Listeria,Ferme de la Boisette / Ferme du Mont St Cyr,Du 01/03/2022 au 08/04/2022,"Atac, Bi1, Maximarché, Intermarché, Leclerc, Super U, U Express, Carrefour Market, commerces de détail départements: 01,21,42,71,69",Listéria
Alimentation,Plats préparés et snacks,Salmonella,ANDRE LOUSSOUARN,NA,INTERMARCHE - SUPER U - CARREFOUR MARKET - LECLERC - COCCINELLE - CARREFOUR CITY - CARREFOUR EXPRESS - SUPERMARCHE CASINO - BOUCHERIES,Mise en évidence de la présence de salmonelles sur la ligne de production
Alimentation,Plats préparés et snacks,Salmonella,ANDRE LOUSSOUARN,NA,INTERMARCHE - SUPER U - LECLERC - SUPERMARCHE CASINO - BOUCHERIES,Mise en évidence de la présence de salmonelles sur la ligne de production
Alimentation,Lait et produits laitiers,Listeria,COURTHIAL,Du 01/04/2022 au 12/04/2022,"Leclerc situé dans les départements 16, 17, 19, 23, 36, 79, 85, 86, 87.",Retrait-rappel par mesure de précaution suite à la présence possible de Listeria monocytogenes <10 UFC/g dans ces produits.
Alimentation,Lait et produits laitiers,Listeria,Ferme de la Boisette / Ferme du Mont St Cyr,Du 01/03/2022 au 08/04/2022,"Atac, Bi1, Maximarché, Intermarché, Leclerc, Super U, U Express, Carrefour Market, commerce de détail des départements: 01,21,39,42,58,71,69",Listéria
Alimentation,Lait et produits laitiers,Listeria,Ferme de la Boisette / Ferme du Mont St Cyr,Du 01/03/2022 au 08/04/2022,"Atac, Bi1, Maximarché, Intermarché, Leclerc, Super U, U Express, Carrefour Market, commerces de détail départements: 01,21,39,42,58,71,69",listéria
Alimentation,Lait et produits laitiers,Listeria,Ferme de la Boisette / Ferme du Mont St Cyr,Du 01/03/2022 au 08/04/2022,"Atac, Bi1, Maximarché, Intermarché, Leclerc, Super U, U Express, Carrefour Market, commerces de détail départements: 01,21,39,42,58,71,69",Listéria
Alimentation,Lait et produits laitiers,Listeria,Ferme de la Boisette / Ferme du Mont St Cyr,Du 01/03/2022 au 08/04/2022,"Atac, Bi1, Maximarché, Intermarché, Leclerc, Super U, U Express, Carrefour Market, commerces de détail départements: 01,21,39,42,58,71,69",Listéria
Alimentation,Produits sucrés,Salmonella,KINDER,NA,"TOUS CIRCUITS (GMS, HARD DISCOUNT, CIRCUIT COURT)",Rappel volontaire
Alimentation,Plats préparés et snacks,Listeria,sans marque (vendu au rayon stand avec service),Du 04/04/2022 au 08/04/2022,cora Vesoul,présence de listeria
Alimentation,Viandes,Listeria,SOLEANE (SOLEANE MON POTAGER),Du 31/03/2022 au 25/04/2022,GMS,Présence de Listéria ( <10ufc/g)
Alimentation,Lait et produits laitiers,Listeria,Fromage de chèvre,Du 25/03/2022 au 05/04/2022,Les halles du marché d'Orléans,Listeria
Alimentation,Viandes,Salmonella,/,Du 04/04/2022 au 15/04/2022,Auchan City Tourcoing,présence de Salmonelles
Alimentation,Plats préparés et snacks,Listeria,Leclerc,Du 09/04/2022 au 11/04/2022,Leclerc Atlantis,Suspicion de Listéria
Alimentation,Viandes,Listeria,SALAISONS DE LA VERNEDE,Du 10/03/2022 au 15/04/2022,VOIR INFORMATIONS COMPLEMENTAIRES,LISTERIA MONOCYTOGENES
Alimentation,Viandes,Listeria,SALAISONS DE LA VERNEDE,Du 15/03/2022 au 20/04/2022,"SARL CALAS LACAUNE
MAISON MIMOSA PORTIRAGNES
LE RAYGAL LACAUNE
ALBA FREDERIC LACAUNE
LOU MAZEL LACAUNE
MAISON HERVE TOULOUSE
MAISON ENJALBAL LACAUNE",LISTERIA MONOCYTOGENES
Alimentation,Viandes,Listeria,SALAISONS DE LA VERNEDE,Du 08/03/2022 au 20/04/2022,"MAISON HERVE TOULOUSE
SARL SOVIT ALBI
EUROCHARCUTERIE TOULOUSE
WEYDMANN RIOLS",SUSPICION DE LISTERIA
Alimentation,Viandes,Listeria,SALAISONS DE LA VERNEDE,Du 15/03/2022 au 20/04/2022,"RAYGAL LACAUNE
WEYDMANN RIOLS
MAISON NEGRE LACAUNE
CALAS LACAUNE
MAISON MONTALET ST DENIS
MAISON ENJALBAL LACAUNE
MAISON MIMOSA PORTIRAGNES
DEJEAN STEPHANIE VIVIERS LES MONTAGNES",SUSPICION DE LISTERIA MONOCYTOGENES
Alimentation,Plats préparés et snacks,Listeria,PAS DE MARQUE : FABRICATION MAISON,Du 05/04/2022 au 13/04/2022,E.LECLERC DE LAMBALLE 66 rue mouexigné 22400 LAMBALLE,PRESENCE DE LISTERIA MONOCYTOGENES
Alimentation,Lait et produits laitiers,Listeria,Les chèvres d'Amandine,Du 08/04/2022 au 18/04/2022,"Sarl aux bons fromages, chez le producteur, boucherie pinto, promocash Montauban,  ferme les pibouls,Gratiot SA Rungis.",LISTERIA
Alimentation,Autres,Listeria,La Ferme Reilhes,Du 30/03/2022 au 28/05/2022,"Marché de Lavaur ( 81 ) le mercredi matin et le samedi matin
Marché de Blagnac ( 31 ) le mercredi après midi et le samedi matin",Présence de listéria monocytogène
Alimentation,Autres,Listeria,La Ferme Reilhes,Du 31/03/2022 au 30/05/2022,La Ferme Reilhes,Présence de listéria
Alimentation,Autres,Listeria,La Ferme Reilhes,NA,"Marché de Lavaur ( 81 ) le mercredi matin et le samedi matin
Marché de Blagnac ( 31 ) le mercredi après midi et le samedi matin",Présence de listéria
Alimentation,Autres,Listeria,La Ferme Reilhes,NA,"Marché de Lavaur (81) le mercredi matin et le samedi matin
Marché de Blagnac (31 ) le mercredi après midi et le samedi matin",Présence de listéria
Alimentation,Autres,Listeria,La Ferme Reilhes,NA,"Marché de Lavaur (81) le mercredi matin et le samedi matin
Marché de Blagnac (31 ) le mercredi après midi et le samedi matin",Présence de listéria
Alimentation,Autres,Listeria,La Ferme Reilhes,NA,"Marché de Lavaur (81) le mercredi matin et le samedi matin
Marché de Blagnac (31 ) le mercredi après midi et le samedi matin",Présence de listéria
Alimentation,Autres,Listeria,La Ferme Reilhes,NA,"Marché de Lavaur (81) le mercredi matin et le samedi matin
Marché de Blagnac (31 ) le mercredi après midi et le samedi matin",Présence de listéria
Alimentation,Autres,Listeria,La Dame de Clèdes,NA,"Marché de Rabastens ( 81 ) le samedi matin
Marché de l'Isle s/Tarn ( 81 ) le dimanche matin
Marché de Fontenilles ( 31 ) le dimanche matin",Présence de listéria
Alimentation,Autres,Listeria,La Dame de Clèdes,NA,"Marché de Rabastens ( 81 ) le samedi matin
Marché de l'Isle s/Tarn ( 81 ) le dimanche matin
Marché de Fontenilles ( 31 ) le dimanche matin",Présence de listéria
Alimentation,Autres,Listeria,La Dame de Clèdes,NA,"Marché de Rabastens ( 81 ) le samedi matin
Marché de l'Isle s/Tarn ( 81 ) le dimanche matin
Marché de Fontenilles ( 31 ) le dimanche matin",Présence de listéria
Alimentation,Autres,Listeria,La Dame de Clèdes,NA,"Marché de Rabastens ( 81 ) le samedi matin
Marché de l'Isle s/Tarn ( 81 ) le dimanche matin
Marché de Fontenilles ( 31 ) le dimanche matin",Présence de listéria
Alimentation,Autres,Listeria,La Dame de Clèdes,NA,"Marché de Rabastens ( 81 ) le samedi matin
Marché de l'Isle s/Tarn ( 81 ) le dimanche matin
Marché de Fontenilles ( 31 ) le dimanche matin",Présence de listéria
Alimentation,Autres,Listeria,La Dame de Clèdes,NA,"Marché de Rabastens ( 81 ) le samedi matin
Marché de l'Isle s/Tarn ( 81 ) le dimanche matin
Marché de Fontenilles ( 31 ) le dimanche matin",Présence de listéria
Alimentation,Autres,Listeria,La Dame de Clèdes,NA,"Marché de Rabastens ( 81 ) le samedi matin
Marché de l'Isle s/Tarn ( 81 ) le dimanche matin
Marché de Fontenilles ( 31 ) le dimanche matin",Présence de listéria
Alimentation,Autres,Listeria,La Dame de Clèdes,NA,"Marché de Rabastens ( 81 ) le samedi matin
Marché de l'Isle s/Tarn ( 81 ) le dimanche matin
Marché de Fontenilles ( 31 ) le dimanche matin",Présence de listéria
Alimentation,Autres,Listeria,La Dame de Clèdes,NA,"Marché de Rabastens ( 81 ) le samedi matin
Marché de l'Isle s/Tarn ( 81 ) le dimanche matin
Marché de Fontenilles ( 31 ) le dimanche matin",Présence de listéria
Alimentation,Autres,Listeria,La Dame de Clèdes,NA,"Marché de Rabastens ( 81 ) le samedi matin
Marché de l'Isle s/Tarn ( 81 ) le dimanche matin
Marché de Fontenilles ( 31 ) le dimanche matin",Présence de listéria
Alimentation,Autres,Listeria,EARL ESTEVE,NA,"Marché de Renneville ( 31 ) le mercredi après midi
Marché de Bonrepos Riquet ( 31) le vendredi
Marché de Les Oustalous à Toulouse ( 31 ) le samedi
Marché de Verfeil ( 31 ) le dimanche",Présence de listéria
Alimentation,Autres,Listeria,EARL ESTEVE,NA,"Marché de Renneville ( 31 ) le mercredi après midi
Marché de Bonrepos Riquet ( 31) le vendredi
Marché de Les Oustalous à Toulouse ( 31 ) le samedi
Marché de Verfeil ( 31 ) le dimanche",Présence de listéria
Alimentation,Autres,Listeria,EARL ESTEVE,NA,"Marché de Renneville ( 31 ) le mercredi après midi
Marché de Bonrepos Riquet ( 31) le vendredi
Marché de Les Oustalous à Toulouse ( 31 ) le samedi
Marché de Verfeil ( 31 ) le dimanche",Présence de listéria
Alimentation,Autres,Listeria,La Ferme Reilhes,NA,"Marché de Lavaur ( 81 ) le mercredi matin et le samedi matin
Marché de Blagnac ( 31 ) le mercredi après midi et le samedi matin",Présence de listéria
Alimentation,Lait et produits laitiers,Listeria,Les chèvres d'Amandine,Du 08/04/2022 au 19/04/2022,"SARL AUX BONS FROMAGES, CHEZ LE PRODUCTEUR, BOUCHERIE PINTO, PROMOCASH MONTAUBAN, FERME DES PIBOULS, GRATIOT SA RUNGIS",LISTERIA
Alimentation,Autres,Listeria,Jay&Joy,NA,"Relais Vert, Effegi, Jay&joy",Contamination en Listeria
Alimentation,Viandes,Bacillus,Sans Marque,Du 06/04/2022 au 16/04/2022,Magasins Fresh (voir liste ci-jointe) et Marché Savoyard (St Alban),Présence de Bacillus cereus présomptif au-dessus du seuil d'alerte à DLC
Alimentation,Viandes,Listeria,SOBOVIA,Du 16/04/2022 au 25/04/2022,"Super U, Auchan, Proxi, Ferme Baehl",Détection de Listeria Monocytogenes
Alimentation,Viandes,Listeria,SOBOVIA,Du 13/04/2022 au 20/04/2022,"Transgourmet, Distribution Iller, Pomona, Cora",Détection de listeria monocytegenes
Alimentation,Produits de la pêche et d'aquaculture,Listeria,E.Leclerc,Du 09/04/2022 au 18/04/2022,E.leclerc La Rochelle,Présence de Listeria monocytogenes
Alimentation,Viandes,Listeria,Sans marque,Du 24/01/2022 au 24/04/2022,E.Leclerc Rouen St Sever,Présence de Listeria Monocytogenes
Alimentation,Viandes,Listeria,Fabriqué sur place,Du 05/04/2022 au 13/04/2022,SUPER U MAUBOURGUET,Présence de Listéria
Alimentation,Autres,Salmonella,sans marque,Du 20/04/2022 au 26/04/2022,"Intermarché Bousbecque
Carrefour Market Autreville",Détection de salmonelles
Alimentation,Produits de la pêche et d'aquaculture,Listeria,LA SAUMONERIE DE CHOISY,Du 31/03/2022 au 21/04/2022,carrefour,détection de Listeria monocytogenes dans un pot de tarama oeufs de truite (<10ufc/g) lors d'un prélèvement officiel
Alimentation,Produits sucrés,Salmonella,ELITE / STRAUSS,Du 01/01/2022 au 29/04/2022,INTERMARCHE SUPERK  AU BON GOUT FRANPRIX G20 EDEN CASH CARREFOUR KLOTCH  BOUCHERIE YAGUEL ANDRE KACHER AUCHAN LEADER CASH,suspicion de salmonelle
Alimentation,Viandes,Listeria,MAISON VAUX CHARCUTERIE DE CAMPAGNE,Du 12/04/2022 au 01/05/2022,GMS,CONTAMINATION LISTERIA
Alimentation,Viandes,Salmonella,Siebert,Du 31/03/2022 au 07/04/2022,"Intermarché Delle
37, Faubourg de belfort 90100 Delle",Un contrôle microbiologique a mis en évidence dans un lot de ce produit la présence de Salmonelle.
Alimentation,Produits sucrés,Salmonella,ELITE / STRAUSS,Du 01/01/2022 au 29/04/2022,INTERMARCHE SUPERK  AU BON GOUT FRANPRIX G20 EDEN CASH CARREFOUR KLOTCH  BOUCHERIE YAGUEL ANDRE KACHER AUCHAN LEADER CASH,suspicion de salmonelle
Alimentation,Produits sucrés,Salmonella,ELITE / STRAUSS,Du 01/01/2022 au 29/04/2022,INTERMARCHE SUPERK  AU BON GOUT FRANPRIX G20 EDEN CASH CARREFOUR KLOTCH  BOUCHERIE YAGUEL ANDRE KACHER AUCHAN LEADER CASH,suspicion de salmonelle
Alimentation,Produits sucrés,Salmonella,ELITE / STRAUSS,Du 01/01/2022 au 29/04/2022,INTERMARCHE SUPERK  AU BON GOUT FRANPRIX G20 EDEN CASH CARREFOUR KLOTCH  BOUCHERIE YAGUEL ANDRE KACHER AUCHAN LEADER CASH,suspicion de salmonelle
Alimentation,Produits sucrés,Salmonella,ELITE / STRAUSS,Du 01/01/2022 au 29/04/2022,INTERMARCHE SUPERK  AU BON GOUT FRANPRIX G20 EDEN CASH CARREFOUR KLOTCH  BOUCHERIE YAGUEL ANDRE KACHER AUCHAN LEADER CASH,suspicion de salmonelle
Alimentation,Produits sucrés,Salmonella,ELITE / STRAUSS,Du 01/01/2022 au 29/04/2022,INTERMARCHE SUPERK  AU BON GOUT FRANPRIX G20 EDEN CASH CARREFOUR KLOTCH  BOUCHERIE YAGUEL ANDRE KACHER AUCHAN LEADER CASH,suspicion de salmonelle
Alimentation,Produits sucrés,Salmonella,ELITE / STRAUSS,Du 01/01/2022 au 29/04/2022,INTERMARCHE SUPERK  AU BON GOUT FRANPRIX G20 EDEN CASH CARREFOUR KLOTCH  BOUCHERIE YAGUEL ANDRE KACHER AUCHAN LEADER CASH,suspicion de salmonelle
Alimentation,Produits sucrés,Salmonella,ELITE / STRAUSS,Du 01/01/2022 au 29/04/2022,INTERMARCHE SUPERK  AU BON GOUT FRANPRIX G20 EDEN CASH CARREFOUR KLOTCH  BOUCHERIE YAGUEL ANDRE KACHER AUCHAN LEADER CASH,suspicion de salmonelle
Alimentation,Produits sucrés,Salmonella,ELITE / STRAUSS,Du 01/01/2022 au 29/04/2022,INTERMARCHE SUPERK  AU BON GOUT FRANPRIX G20 EDEN CASH CARREFOUR KLOTCH  BOUCHERIE YAGUEL ANDRE KACHER AUCHAN LEADER CASH,suspicion de salmonelle
Alimentation,Produits sucrés,Salmonella,ELITE / STRAUSS,Du 01/01/2022 au 29/04/2022,INTERMARCHE SUPERK  AU BON GOUT FRANPRIX G20 EDEN CASH CARREFOUR KLOTCH  BOUCHERIE YAGUEL ANDRE KACHER AUCHAN LEADER CASH,suspicion de salmonelle
Alimentation,Produits sucrés,Salmonella,ELITE / STRAUSS,Du 01/01/2022 au 29/04/2022,INTERMARCHE SUPERK  AU BON GOUT FRANPRIX G20 EDEN CASH CARREFOUR KLOTCH  BOUCHERIE YAGUEL ANDRE KACHER AUCHAN LEADER CASH,suspicion de salmonelle
Alimentation,Produits sucrés,Salmonella,ELITE / STRAUSS,Du 01/01/2022 au 29/04/2022,INTERMARCHE SUPERK  AU BON GOUT FRANPRIX G20 EDEN CASH CARREFOUR KLOTCH  BOUCHERIE YAGUEL ANDRE KACHER AUCHAN LEADER CASH,suspicion de salmonelle
Alimentation,Produits sucrés,Salmonella,ELITE / STRAUSS,Du 01/01/2022 au 29/04/2022,INTERMARCHE SUPERK  AU BON GOUT FRANPRIX G20 EDEN CASH CARREFOUR KLOTCH  BOUCHERIE YAGUEL ANDRE KACHER AUCHAN LEADER CASH,suspicion de salmonelle
Alimentation,Produits sucrés,Salmonella,ELITE / STRAUSS,Du 01/01/2022 au 29/04/2022,INTERMARCHE SUPERK  AU BON GOUT FRANPRIX G20 EDEN CASH CARREFOUR KLOTCH  BOUCHERIE YAGUEL ANDRE KACHER AUCHAN LEADER CASH,suspicion de salmonelle
Alimentation,Produits sucrés,Salmonella,ELITE / STRAUSS,Du 01/01/2022 au 29/04/2022,INTERMARCHE SUPERK  AU BON GOUT FRANPRIX G20 EDEN CASH CARREFOUR KLOTCH  BOUCHERIE YAGUEL ANDRE KACHER AUCHAN LEADER CASH,suspicion de salmonelle
Alimentation,Produits sucrés,Salmonella,ELITE / STRAUSS,Du 01/01/2022 au 29/04/2022,INTERMARCHE SUPERK  AU BON GOUT FRANPRIX G20 EDEN CASH CARREFOUR KLOTCH  BOUCHERIE YAGUEL ANDRE KACHER AUCHAN LEADER CASH,suspicion de salmonelle
Alimentation,Produits sucrés,Salmonella,ELITE / STRAUSS,Du 01/01/2022 au 29/04/2022,INTERMARCHE SUPERK  AU BON GOUT FRANPRIX G20 EDEN CASH CARREFOUR KLOTCH  BOUCHERIE YAGUEL ANDRE KACHER AUCHAN LEADER CASH,suspicion de salmonelle
Alimentation,Produits sucrés,Salmonella,ELITE / STRAUSS,Du 01/01/2022 au 29/04/2022,INTERMARCHE SUPERK  AU BON GOUT FRANPRIX G20 EDEN CASH CARREFOUR KLOTCH  BOUCHERIE YAGUEL ANDRE KACHER AUCHAN LEADER CASH,suspicion de salmonelle
Alimentation,Produits sucrés,Salmonella,ELITE / STRAUSS,Du 01/01/2022 au 29/04/2022,INTERMARCHE SUPERK  AU BON GOUT FRANPRIX G20 EDEN CASH CARREFOUR KLOTCH  BOUCHERIE YAGUEL ANDRE KACHER AUCHAN LEADER CASH,suspicion de salmonelle
